time,open,high,low,close,volume,time,RSI
2018-12-21,22871.7402,23254.5898,22396.3398,22445.3691,900510000,2018-12-21,19.2550
2018-12-20,23224.1191,23282.1992,22644.3105,22859.5996,576700000,2018-12-20,22.6164
2018-12-19,23693.3301,24057.3398,23162.6406,23323.6602,503550000,2018-12-19,28.3909
2018-12-18,23769.1309,23927.7695,23516.0195,23675.6406,408070000,2018-12-18,29.4539
2018-12-17,23986.8301,24088.0801,23456.8809,23592.9805,466740000,2018-12-17,32.5132
2018-12-14,24408.0391,24431.1406,24033.7891,24100.5098,416940000,2018-12-14,39.4502
2018-12-13,24575.8594,24740.9609,24473.2891,24597.3809,299970000,2018-12-13,42.6204
2018-12-12,24509.0898,24828.2891,24509.0898,24527.2695,344330000,2018-12-12,40.9689
2018-12-11,24719.9102,24791.2598,24221.0605,24370.2402,342960000,2018-12-11,44.5080
2018-12-10,24360.9492,24500.8105,23881.3691,24423.2598,389690000,2018-12-10,36.3114
2018-12-07,24918.8203,25095.6191,24284.7793,24388.9492,398230000,2018-12-07,45.4382
2018-12-06,24737.4199,24951.0098,24242.2207,24947.6699,471690000,2018-12-06,41.2357
2018-12-04,25752.5605,25773.1191,25008.1094,25027.0703,418900000,2018-12-04,66.2042
2018-12-03,25779.5703,25980.2109,25670.5098,25826.4297,388480000,2018-12-03,67.1508
2018-11-30,25307.1406,25549.7109,25250.9707,25538.4609,482250000,2018-11-30,57.9486
2018-11-29,25343.6504,25479.0391,25202.7891,25338.8398,305110000,2018-11-29,59.0675
2018-11-28,24832.8398,25368.9297,24832.8398,25366.4297,362160000,2018-11-28,46.3968
2018-11-27,24557.0195,24750.7305,24416.0293,24748.7305,308250000,2018-11-27,37.2141
2018-11-26,24364.1309,24673.2891,24364.1309,24640.2402,306280000,2018-11-26,29.8619
2018-11-23,24336.4004,24408.8008,24268.7402,24285.9492,155940000,2018-11-23,28.8132
2018-11-21,24541.6504,24669.7891,24463.2793,24464.6895,289370000,2018-11-21,31.9022
2018-11-20,24618.6797,24707.2598,24368.9805,24465.6406,445920000,2018-11-20,33.0663
2018-11-19,25392.6094,25392.6094,24900.9805,25017.4395,358090000,2018-11-19,48.6838
2018-11-16,25242.3496,25510.2305,25147.8008,25413.2207,354460000,2018-11-16,44.2072
2018-11-15,25061.4805,25354.5605,24787.7891,25289.2695,392750000,2018-11-15,38.5622
2018-11-14,25388.0801,25501.2891,24935.8203,25080.5000,384240000,2018-11-14,45.8998
2018-11-13,25321.2109,25511.0293,25193.7793,25286.4902,339690000,2018-11-13,43.9905
2018-11-12,25959.3301,25966.7109,25340.5098,25387.1797,346910000,2018-11-12,62.3700
2018-11-09,26149.1094,26161.4902,25882.9102,25989.3008,324450000,2018-11-09,69.9783
2018-11-08,26139.5898,26277.8203,26081.9004,26191.2207,295650000,2018-11-08,69.8167
2018-11-07,25788.4609,26200.1406,25765.8809,26180.3008,361780000,2018-11-07,63.4703
2018-11-06,25452.8301,25651.8594,25444.9004,25635.0098,265450000,2018-11-06,55.6754
2018-11-05,25261.4707,25507.3496,25261.4707,25461.6992,334740000,2018-11-05,50.3948
2018-11-02,25443.5996,25578.9805,25078.7207,25270.8301,429480000,2018-11-02,55.9454
2018-11-01,25142.0801,25396.4707,25108.1094,25380.7402,383970000,2018-11-01,47.5820
2018-10-31,25008.8203,25336.5508,25008.8203,25115.7598,448930000,2018-10-31,43.4288
2018-10-30,24482.0391,24906.6797,24415.6895,24874.6406,470050000,2018-10-30,22.0722
2018-10-29,24818.9805,25040.5801,24122.2305,24442.9199,443850000,2018-10-29,27.9850
2018-10-26,24770.2500,24916.1602,24445.1895,24688.3105,505310000,2018-10-26,25.4580
2018-10-25,24736.5391,25104.2891,24645.5605,24984.5508,439670000,2018-10-25,23.8404
2018-10-24,25172.8809,25306.2305,24533.1895,24583.4199,496400000,2018-10-24,31.6093
2018-10-23,25038.4609,25307.6992,24768.7891,25191.4297,436430000,2018-10-23,25.0234
2018-10-22,25492.1406,25561.3398,25236.0508,25317.4102,314940000,2018-10-22,34.9680
2018-10-19,25421.0898,25608.7109,25350.0195,25444.3398,350810000,2018-10-19,31.2224
2018-10-18,25645.5605,25691.4609,25236.0098,25379.4492,328020000,2018-10-18,37.1349
2018-10-17,25705.8691,25810.0898,25479.1602,25706.6797,298210000,2018-10-17,38.8651
2018-10-16,25351.5293,25817.6797,25351.5293,25798.4199,305800000,2018-10-16,19.6092
2018-10-15,25332.4609,25482.4199,25243.8809,25250.5508,287320000,2018-10-15,18.3989
2018-10-12,25407.6309,25467.5508,25000.8301,25339.9902,397510000,2018-10-12,19.4067
2018-10-11,25518.3906,25683.6406,24899.7695,25052.8301,522880000,2018-10-11,20.8813
